Distortion_Type,Image,SSIM_Score
ff,im15_1_l.bmp,0.2871526592787747
ff,im15_1_r.bmp,0.4683496260784897
ff,im15_2_l.bmp,0.32907396184800314
ff,im15_2_r.bmp,0.3310332301837752
ff,im15_3_l.bmp,0.44361565860931157
ff,im15_3_r.bmp,0.5568170841129427
ff,im15_4_l.bmp,0.6070675935717524
ff,im15_4_r.bmp,0.4785918504949881
ff,im16_1_l.bmp,0.5223398048388307
ff,im16_1_r.bmp,0.23560821530246773
ff,im16_2_l.bmp,0.2866632509301324
ff,im16_2_r.bmp,0.38705504001953867
ff,im16_3_l.bmp,0.8227217755782326
ff,im16_3_r.bmp,0.9416197991147135
ff,im16_4_l.bmp,0.47458783483791883
ff,im16_4_r.bmp,0.27034967781517294
ff,im17_1_l.bmp,0.6464491918488477
ff,im17_1_r.bmp,0.6174130159132626
ff,im17_2_l.bmp,0.7349491268371936
ff,im17_2_r.bmp,0.639422544993183
ff,im17_3_l.bmp,0.7583832592796711
ff,im17_3_r.bmp,0.5481574129369318
